data;solicitante;orgao;motivo;origem;destino;duracao;aerovanve;passageiro;cargo_funcao;orgao-instituicao
2020-11-05;Romeu Zema Neto;Secretaria Geral de Governo;"Traslado do Exmo. Sr. Governador do Estado de Minas Gerais e comitiva para Inauguração da nova sede do Ministério Público, em Governador Valadares; sobrevoo às áreas atingidas pelo rompimento da Barragem do Fundão, Reunião com bispo Dom Airton José dos Santos, e Encontro com as famílias atingidas pelo rompimento da Barragem do Fundão em Mariana (MG)       ";Belo Horizonte;Governador Valadares;01:07;PR-DTG - N3;Romeu Zema Neto;Governador do Estado de Minas Gerais;Secretaria-Geral de Governo
2020-11-05;Romeu Zema Neto;Secretaria Geral de Governo;"Traslado do Exmo. Sr. Governador do Estado de Minas Gerais e comitiva para Inauguração da nova sede do Ministério Público, em Governador Valadares; sobrevoo às áreas atingidas pelo rompimento da Barragem do Fundão, Reunião com bispo Dom Airton José dos Santos, e Encontro com as famílias atingidas pelo rompimento da Barragem do Fundão em Mariana (MG)       ";Belo Horizonte;Governador Valadares;01:07;PR-DTG - N3;Andreza Gischewski Costa;Assessora de Imprensa do Governador;Secretaria-Geral de Governo
2020-11-05;Romeu Zema Neto;Secretaria Geral de Governo;"Traslado do Exmo. Sr. Governador do Estado de Minas Gerais e comitiva para Inauguração da nova sede do Ministério Público, em Governador Valadares; sobrevoo às áreas atingidas pelo rompimento da Barragem do Fundão, Reunião com bispo Dom Airton José dos Santos, e Encontro com as famílias atingidas pelo rompimento da Barragem do Fundão em Mariana (MG)       ";Belo Horizonte;Governador Valadares;01:07;PR-DTG - N3;Lucas Tadeu Bonaccorsi;Cap PM, Ajudante de Ordens do Governador;Gabinete Militar do Governador
2020-11-05;Romeu Zema Neto;Secretaria Geral de Governo;"Traslado do Exmo. Sr. Governador do Estado de Minas Gerais e comitiva para Inauguração da nova sede do Ministério Público, em Governador Valadares; sobrevoo às áreas atingidas pelo rompimento da Barragem do Fundão, Reunião com bispo Dom Airton José dos Santos, e Encontro com as famílias atingidas pelo rompimento da Barragem do Fundão em Mariana (MG)       ";Belo Horizonte;Governador Valadares;01:07;PR-DTG - N3;Marcel Dornas Beghini;Secretário-Geral Adjunto de Governo;Secretaria-Geral de Governo
2020-11-05;Romeu Zema Neto;Secretaria Geral de Governo;"Traslado do Exmo. Sr. Governador do Estado de Minas Gerais e comitiva para Inauguração da nova sede do Ministério Público, em Governador Valadares; sobrevoo às áreas atingidas pelo rompimento da Barragem do Fundão, Reunião com bispo Dom Airton José dos Santos, e Encontro com as famílias atingidas pelo rompimento da Barragem do Fundão em Mariana (MG)       ";Governador Valadares;Mariana;01:19;PR-DTG - N3;Romeu Zema Neto;Governador do Estado de Minas Gerais;Secretaria-Geral de Governo
2020-11-05;Romeu Zema Neto;Secretaria Geral de Governo;"Traslado do Exmo. Sr. Governador do Estado de Minas Gerais e comitiva para Inauguração da nova sede do Ministério Público, em Governador Valadares; sobrevoo às áreas atingidas pelo rompimento da Barragem do Fundão, Reunião com bispo Dom Airton José dos Santos, e Encontro com as famílias atingidas pelo rompimento da Barragem do Fundão em Mariana (MG)       ";Governador Valadares;Mariana;01:19;PR-DTG - N3;Andreza Gischewski Costa;Assessora de Imprensa do Governador;Secretaria-Geral de Governo
2020-11-05;Romeu Zema Neto;Secretaria Geral de Governo;"Traslado do Exmo. Sr. Governador do Estado de Minas Gerais e comitiva para Inauguração da nova sede do Ministério Público, em Governador Valadares; sobrevoo às áreas atingidas pelo rompimento da Barragem do Fundão, Reunião com bispo Dom Airton José dos Santos, e Encontro com as famílias atingidas pelo rompimento da Barragem do Fundão em Mariana (MG)       ";Governador Valadares;Mariana;01:19;PR-DTG - N3;Lucas Tadeu Bonaccorsi;Cap PM, Ajudante de Ordens do Governador;Gabinete Militar do Governador
2020-11-05;Romeu Zema Neto;Secretaria Geral de Governo;"Traslado do Exmo. Sr. Governador do Estado de Minas Gerais e comitiva para Inauguração da nova sede do Ministério Público, em Governador Valadares; sobrevoo às áreas atingidas pelo rompimento da Barragem do Fundão, Reunião com bispo Dom Airton José dos Santos, e Encontro com as famílias atingidas pelo rompimento da Barragem do Fundão em Mariana (MG)       ";Governador Valadares;Mariana;01:19;PR-DTG - N3;Marcel Dornas Beghini;Secretário-Geral Adjunto de Governo;Secretaria-Geral de Governo
2020-11-05;Romeu Zema Neto;Secretaria Geral de Governo;"Traslado do Exmo. Sr. Governador do Estado de Minas Gerais e comitiva para Inauguração da nova sede do Ministério Público, em Governador Valadares; sobrevoo às áreas atingidas pelo rompimento da Barragem do Fundão, Reunião com bispo Dom Airton José dos Santos, e Encontro com as famílias atingidas pelo rompimento da Barragem do Fundão em Mariana (MG)       ";Governador Valadares;Mariana;01:19;PR-DTG - N3;Antônio Sérgio Tonet;Procurador Geral de Justiça de Minas Gerais;Ministério Público de Minas Gerais
2020-11-05;Romeu Zema Neto;Secretaria Geral de Governo;"Traslado do Exmo. Sr. Governador do Estado de Minas Gerais e comitiva para Inauguração da nova sede do Ministério Público, em Governador Valadares; sobrevoo às áreas atingidas pelo rompimento da Barragem do Fundão, Reunião com bispo Dom Airton José dos Santos, e Encontro com as famílias atingidas pelo rompimento da Barragem do Fundão em Mariana (MG)       ";Governador Valadares;Mariana;01:19;PR-DTG - N3;André Valadares da Cruz;Cinegrafista;Secretaria-Geral de Governo
